model,accuracy,precision,recall,f1,FPR,Detection Rate,total_wrong,num_causal,num_regression,num_plausible,causal_rate,regression_rate,plausible_rate,temp_score
ait_logic_pretrained_aug_w10_100b100a_20260505_130510,0.9961515563871407,0.7964722031798398,0.9719764143270904,0.832207232099958,0.003892740039825725,0.9969390471120575,543,0,18,525,0.0,0.03314917127071823,0.9668508287292817,0.8255773978458143
ait_logic_pretrained_aug_w10_20b20a_20260505_124609,0.9960452457901003,0.7956404576944333,0.9741502612015708,0.8303659627429297,0.004012516656435748,0.9970721320202289,558,0,14,544,0.0,0.025089605734767026,0.974910394265233,0.8253480415959763
ait_logic_pretrained_aug_w10_10b10a_20260505_123926,0.9959672846856041,0.7949074844250117,0.9719374869266921,0.8294116041350892,0.004087377041817011,0.9969390471120575,569,0,16,553,0.0,0.028119507908611598,0.9718804920913884,0.8237877025533669
ait_logic_pretrained_aug_w10_50b50a_20260505_125919,0.995591653909395,0.7927611835404694,0.9741411261220918,0.826608841793026,0.004499109161413963,0.9972052169284004,622,0,18,604,0.0,0.028938906752411574,0.9710610932475884,0.8208210604425437
ait_logic_pretrained_full_w10_500b500a_20260505_021902,0.9853716618472529,0.7586439944615126,0.837388803745543,0.7890937144308202,0.013609618062313785,0.9672611125898323,2064,0,186,1878,0.0,0.09011627906976744,0.9098837209302325,0.7710704586168667
ait_logic_pretrained_full_w10_10000b10000a_20260505_031255,0.9857543799965981,0.7730424993010413,0.8106791071013386,0.7833187799945388,0.013212858019793087,0.9673941974980037,2010,0,170,1840,0.0,0.0845771144278607,0.9154228855721394,0.7664033571089667
ait_logic_pretrained_full_w10_1000b1000a_20260505_023107,0.985421273459205,0.7517908014534352,0.8377850347423133,0.782869910238939,0.013624590139390038,0.968458876763375,2057,0,175,1882,0.0,0.0850753524550316,0.9149246475449684,0.7658548397479327
ait_logic_pretrained_reduced_w10_50b50a_20260505_081456,0.9865410784146964,0.752070993140037,0.8278190633298618,0.7795436733632257,0.01218727074006977,0.963933989885547,1899,0,167,1732,0.0,0.08794102159031068,0.9120589784096893,0.7619554690451635
ait_logic_pretrained_full_w10_balanced_20260505_011148,0.9847692351306911,0.767291603984214,0.8109315118550475,0.7792386133903192,0.014335763800512045,0.9688581314878892,2149,0,193,1956,0.0,0.08980921358771522,0.9101907864122848,0.7612767706727761
ait_logic_pretrained_full_w10_10b10a_20260505_014254,0.9890712706242558,0.7661823341602789,0.801834821238752,0.7786823191972192,0.008781123205222261,0.9508916688847485,1542,0,109,1433,0.0,0.07068741893644617,0.9293125810635539,0.76454483540993
ait_logic_pretrained_full_w10_20b20a_20260505_014810,0.9895390372512332,0.7660394385927787,0.8009719753632829,0.7774990988817556,0.008054977467024,0.9467660367314347,1476,0,98,1378,0.0,0.06639566395663957,0.9336043360433605,0.7642199660904277
ait_logic_pretrained_full_w10_100b100a_20260505_020700,0.9863497193400238,0.754553431061619,0.8231348126750065,0.7771927399333041,0.012449282088904194,0.9649986691509183,1926,0,161,1765,0.0,0.08359293873312565,0.9164070612668743,0.7604741521866789
ait_logic_pretrained_full_w10_30b30a_20260505_015501,0.9882349605942053,0.765315235295402,0.8008289929106882,0.7766919776039225,0.009305145902891108,0.9445035932925206,1660,0,122,1538,0.0,0.07349397590361446,0.9265060240963855,0.7619931824231996
ait_logic_pretrained_reduced_w10_100b100a_20260505_082307,0.9840746725633611,0.7432653098499489,0.8319761665787935,0.7742374001481467,0.01484481442110464,0.9648655842427468,2247,0,244,2003,0.0,0.10858923008455719,0.8914107699154428,0.7525195541312353
ait_logic_pretrained_full_w10_50b50a_20260505_020106,0.9866403016386006,0.7525700930092343,0.8091125004247802,0.7718837163500625,0.011985147699540358,0.9622038860793186,1885,0,146,1739,0.0,0.07745358090185676,0.9225464190981433,0.7563930001696911
