model,accuracy,precision,recall,f1,FPR,Detection Rate,total_wrong,num_causal,num_regression,num_plausible,causal_rate,regression_rate,plausible_rate,temp_score
ait_pretrained_aug_w100_full_20260503_111604,0.9999574649085495,0.9998415140545006,0.9955984053385775,0.9976955094274294,2.995132909022838e-05,0.9997336884154461,6,0,1,5,0.0,0.16666666666666666,0.8333333333333334,0.964362176094096
ait_scratch_aug_w100_full_20260503_084725,0.9997164327236637,0.9989342207401425,0.992829288287569,0.9958256631133444,0.00020217147135904155,0.9982689747003994,40,0,1,39,0.0,0.025,0.975,0.9908256631133444
ait_scratch_aug_w10_full_20260503_074756,0.9995393207461586,0.998564198117078,0.9893940347475463,0.9938764770965427,0.0002694973873725502,0.996140537663029,65,0,5,60,0.0,0.07692307692307693,0.9230769230769231,0.9784918617119274
ait_pretrained_aug_w10_full_20260503_110322,0.9998936894029596,0.9998654619570762,0.9660763411243766,0.9822301359181479,2.2458115614379182e-05,0.998402981101943,15,0,0,15,0.0,0.0,1.0,0.9822301359181479
ait_scratch_aug_w10_full_20260502_185322,0.9991920394624936,0.9678433370253463,0.9304784850843054,0.9473107247215606,0.0005315087362069739,0.9942773489486292,77,0,59,18,0.0,0.7662337662337663,0.23376623376623376,0.7940639714748073
ait_scratch_aug_w100_full_20260502_151226,0.9989153551680137,0.9667578555619294,0.8170688074937674,0.8708019355544341,0.0004941969299887682,0.9884154460719041,79,0,57,22,0.0,0.7215189873417721,0.27848101265822783,0.7264981380860797
ait_scratch_full_w10_full_20260503_012500,0.9904107841469638,0.7860709874418064,0.5635609621304656,0.6034414739440684,0.0022982138312048032,0.8607931860527016,1353,0,44,1309,0.0,0.032520325203252036,0.967479674796748,0.5969374089034181
ait_scratch_aug_w10_full_20260503_125437,0.9957759256109315,0.6745082690919617,0.5854316591407585,0.5959783108194145,0.0009132967016514201,0.9369177535267501,596,0,35,561,0.0,0.0587248322147651,0.9412751677852349,0.5842333443764616
ait_scratch_aug_w10_full_20260503_143308,0.99725718659636,0.5940783865678403,0.5897680177641689,0.591813905438305,0.0011079337036427063,0.9681927069470322,387,0,31,356,0.0,0.08010335917312661,0.9198966408268734,0.5757932336036797
ait_scratch_aug_w10_full_20260503_153658,0.9966476725066621,0.5916294098400491,0.5863701452524336,0.5889793647703802,0.0010181012411851896,0.9551503859462337,473,0,29,444,0.0,0.0613107822410148,0.9386892177589852,0.5767172083221772
ait_scratch_full_w100_full_20260503_023350,0.9906706366085354,0.7903254762577517,0.5463978918285549,0.5783524091568878,0.001422688131785848,0.8500665778961385,1316,0,39,1277,0.0,0.029635258358662615,0.9703647416413373,0.5724253574851552
ait_scratch_reduced_w10_full_20260503_043450,0.9881569994897091,0.7819689735654006,0.5387062701767837,0.5701388541435949,0.002912068991331167,0.8293851477242481,1671,0,49,1622,0.0,0.029323758228605626,0.9706762417713943,0.5642741024978738
ait_scratch_aug_w10_full_20260503_135259,0.993557577819357,0.5934069799807172,0.5448431591481124,0.5652261953654873,0.0010630174724139479,0.8979238754325259,907,0,34,873,0.0,0.037486218302094816,0.9625137816979051,0.5577289517050684
ait_scratch_reduced_w100_full_20260503_054600,0.9889479654047922,0.7779641676686964,0.5412060719300305,0.5601380905801187,0.004035941594908274,0.8641810918774967,1559,0,69,1490,0.0,0.04425914047466325,0.9557408595253367,0.551286262485186
