experiment,accuracy,precision,recall,f1,num_errors
ensemble_lstm_original_class_weights_w10,0.9996224690523973,0.8907519166074912,0.9790530705295405,0.9290694521162104,19
ensemble_lstm_resampled_class_weights_w10,0.9995231188030282,0.8599860103589698,0.9813280129360619,0.9128550161659584,24
ensemble_lstm_resampled_no_class_weights_w10,0.9995827289526497,0.8615204907240307,0.9813519363810377,0.9122689100000461,21
multi_class_lstm_resampled_class_weights_w50,0.9995627198823319,0.9403428950585387,0.8987015681807442,0.9058873319394335,22
multi_class_lstm_resampled_class_weights_w100,0.9995824302559106,0.9035759714305481,0.9099495505440868,0.9024620354579013,21
ensemble_lstm_resampled_no_class_weights_w100,0.9995824302559106,0.955411877394636,0.8861480149758717,0.8991442081643385,21
multi_class_lstm_resampled_no_class_weights_w100,0.9995824302559106,0.9248722738448766,0.891439020266877,0.8953924833010104,21
multi_class_lstm_resampled_class_weights_w10,0.9995231188030282,0.8284396734894273,0.9813303163616564,0.8906206687350253,24
multi_class_lstm_resampled_no_class_weights_w10,0.9994635086534067,0.8187060907880409,0.9813063929166804,0.8852390454664235,27
multi_class_lstm_resampled_no_class_weights_w50,0.9994434616684225,0.8804986092539688,0.8735409377681487,0.8726735271554326,28
ensemble_lstm_resampled_no_class_weights_w50,0.9994832144063922,0.936324576069147,0.8223219174324078,0.8693643970252114,26
multi_class_lstm_original_class_weights_w10,0.9994436386035329,0.7922119939489192,0.9812984184350216,0.8647484039426362,28
ensemble_lstm_resampled_class_weights_w50,0.9994235852994375,0.9601068171215702,0.803789747266623,0.863391546081422,29
multi_class_lstm_original_class_weights_w100,0.9994631246147422,0.8343493613108972,0.8913910908190243,0.8541057907409346,27
multi_class_lstm_original_no_class_weights_w50,0.9993440798234978,0.8491904016745457,0.86161223408978,0.8466111203356256,33
ensemble_lstm_original_no_class_weights_w50,0.9994235852994375,0.9013238280349775,0.786607631718122,0.8340429508986058,29
ensemble_lstm_original_no_class_weights_w100,0.9994631246147422,0.8956976242935147,0.8124023115472409,0.8113731733498596,27
multi_class_lstm_original_no_class_weights_w10,0.9994436386035329,0.8554041635458663,0.7727277876253101,0.8084939168937195,28
ensemble_lstm_original_class_weights_w100,0.9989660177765405,0.7753751472974061,0.8971437657386855,0.8019986977193351,52
multi_class_lstm_original_class_weights_w50,0.999304327085528,0.8244595927136369,0.8354878954654414,0.8002754096524942,35
multi_class_lstm_original_no_class_weights_w100,0.9994631246147422,0.8343630145856173,0.7793415167197665,0.7965663440971484,27
ensemble_lstm_original_class_weights_w50,0.9991254397646638,0.7995435735965404,0.8658313699767,0.7783587844463954,44
ensemble_lstm_original_no_class_weights_w10,0.9992449381047946,0.8937084838518395,0.6632541667043207,0.7227244877796518,38
