Model,Macro F1,Macro F1 Std,Accuracy,Accuracy Std,Detection Rate,Detection Rate Std,False Alarm Rate,False Alarm Rate Std,Causal Rate,Causal Rate Std,Regression Rate,Regression Rate Std
ait_temp_context_pretrained_base_w100_full_0.001lr,0.944343362846052,0.02363026233717779,0.9991719913796363,2.9041346545689377e-05,0.9904136339428368,0.0003175669060891031,0.000335453211265637,2.5726263643711003e-05,0.0,0.0,0.002197802197802198,0.004395604395604395
ait_temp_context_endtoend_base_w100_full_0.001lr,0.9400461702307009,0.010136825489135635,0.9990699081250709,5.62700898564856e-05,0.9908751997159596,0.0014272857264151873,0.0004692351467108613,8.494972149868772e-05,0.0,0.0,0.014494553598696936,0.01088954521962679
ait_temp_pretrained_base_w100_full_0.001lr,0.8802645668634885,0.024565579512035862,0.9983695035729139,4.726076600236606e-06,0.9840227232380614,0.0008876264867743733,0.000823657438375448,4.492676936593352e-05,0.0,0.0,0.16247143433257158,0.052644844737195856
ait_temp_endtoend_base_w100_full_0.001lr,0.8420469387680019,0.01340591014216574,0.9982154334757457,9.326550254104817e-05,0.9808272678856736,0.0028158892325792057,0.0008066851032816508,0.00018107738863659648,0.0,0.0,0.18013446925712798,0.046352047694125105
ait_temp_context_baseline_endtoend_base_w100_full_0.001lr,0.5840934425007107,0.0,0.9628530379220387,0.0,0.30339073317947807,0.0,5.9902359154578036e-05,0.0,0.0,0.0,0.0,0.0
ait_temp_baseline_endtoend_base_w100_full_0.001lr,0.09231403815656924,0.0,0.05324397897841128,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.19972444914788895,0.0
