Model,Phase,runs,peak_mb_mean,peak_mb_std,time_to_peak_s_mean,time_to_peak_s_std,auc_mb_s_mean,auc_mb_s_std,median_mb_mean,median_mb_std,p90_mb_mean,p90_mb_std,p99_mb_mean,p99_mb_std,slope_mb_per_s_mean,slope_mb_per_s_std,time_to_peak,peak_gb,peak_gb_std,median_gb
temp_pretrained,test,3,15692.048177083334,21.429738845915114,202.63157999999999,33.7127124349255,2292894.3746757484,385453.613154848,11049.826171875,323.9891085854502,14914.276822916667,141.15543747306316,15680.95015625,19.15273874877331,44.573384154115836,7.869395277068844,3.4m,15.32,0.02,10.79
temp_baseline_endtoend,test,3,13302.6796875,13.273908816676325,84.22122733333333,19.248215741631785,848735.4737276238,197005.29344170462,9828.109375,12.6267943665097,12634.107942708333,33.177109063777145,13252.205299479167,30.95854909643723,75.7509698505501,19.82670933268531,1.4m,12.99,0.01,9.6
temp_endtoend,train,3,7859.774739583333,1.3392393913533274,10384.999757,444.59966183497147,94795403.49149688,4574520.001240634,7859.515625,1.2909117102342018,7859.770833333333,1.3355122881619612,7859.774739583333,1.3392393913533274,0.027197869757985188,0.002074787535666849,2.9h,7.68,0.0,7.68
temp_pretrained,train,3,7859.557291666667,1.320275260405135,6919.735311666666,5144.547540601362,68184845.34618968,46261058.77591176,7492.372395833333,520.2993182171633,7859.555989583333,1.3187256757070809,7859.555989583333,1.3187256757070809,4.315632755474543,6.069965774901828,1.9h,7.68,0.0,7.32
temp_context_endtoend,test,3,15566.610677083334,5.561719365771922,202.12305066666667,16.932314588120793,2290261.085784314,162902.1714500784,10908.359375,686.577700454503,14696.165364583334,159.38212128485262,15526.845651041667,3.2083207557334403,39.039604756757285,4.323902952200993,3.4m,15.2,0.01,10.65
temp_context_pretrained,test,3,15551.591145833334,4.353383555100696,213.96376566666666,26.90241722660228,2444565.454074389,333914.50824831997,11217.026692708334,393.4058849891149,14694.122526041667,79.00952426224882,15513.719153645834,17.338811787196267,37.321991579958535,4.610691673225025,3.6m,15.19,0.0,10.95
temp_context_baseline_endtoend,train,4,7440.943359375,6.235690711826915,922.934596,451.29093699850847,8366343.73152867,1342707.5477008792,7440.845703125,6.2857537516060935,7440.8759765625,6.27011921344935,7440.876953125,6.270619368678481,0.9040556671410486,0.17078406105739977,15.4m,7.27,0.01,7.27
temp_context_baseline_endtoend,test,4,12955.7490234375,651.1286192046606,123.64620825,20.43495859777478,1246813.3565193696,203975.82093344658,9848.80224609375,195.5584023864101,12419.00869140625,433.8426237414484,12911.663759765624,626.8969922053659,50.247226706985195,10.923468752682146,2.1m,12.65,0.64,9.62
temp_baseline_endtoend,train,3,7492.483072916667,0.4299990978773644,129.63439200000002,84.01187169694961,993464.979514737,772825.3631732507,7195.885416666667,323.9596140040754,7492.479166666667,0.4331105760084221,7492.482291666667,0.42975678103083115,50.916378760289035,31.18889178233661,2.2m,7.32,0.0,7.03
temp_context_endtoend,train,3,8021.626302083333,1.2787280396181024,4239.435471666667,1096.1903683865114,42560085.56127252,4568857.915283303,8021.462239583333,1.289663422644295,8021.59375,1.3014829344928198,8021.59765625,1.2988658163390732,0.13452225089705142,0.012724241585900974,1.2h,7.83,0.0,7.83
temp_endtoend,test,3,15678.677083333334,3.357814156131643,204.3125236666667,22.667962033823045,2272335.0782253304,258288.6856661419,10574.75,90.78060136520641,14813.532552083334,86.82996043853777,15671.096588541666,5.553038028041667,41.95354622937517,5.557873150922019,3.4m,15.31,0.0,10.33
temp_context_pretrained,train,3,8011.73046875,3.562825505962578,3557.132805333333,1034.0553735747403,37450074.52484349,3625448.472178731,8011.561197916667,3.56540613449055,8011.682291666667,3.6087130939196914,8011.73046875,3.562825505962578,0.12425673574825047,0.011113387542388135,59.3m,7.82,0.0,7.82
