,f1_score,weighted_f1,false_alarm_rate,detection_rate
dpl_endtoend_fox,0.8889254304499252,0.9984710189897824,0.000991625348943794,0.9955062491223143
dpl_pretrained_fox,0.8710947670962474,0.9984565331171017,0.0005083121536602641,0.9927912746337125
lstm_multiclass_fox,0.8035069767231539,0.9942337727061006,0.003916503479021708,0.9839910124982446
dpl_endtoend_santos_fox,0.7205256221112508,0.944663995791776,0.002677399597515093,0.6785704255020363
dpl_pretrained_santos_fox,0.6387822811135055,0.9211403791589098,0.0010024624076597128,0.5574919252913917
lstm_multiclass_santos_fox,0.5960548559435506,0.898050929950371,0.026569003662362662,0.5388147732060103
logic_santos_fox,0.561060744936178,0.9533174914609737,3.74985938027324e-05,0.7928942564246595
