,macro_f1,accuracy,false_alarm_rate,detection_rate
ensemble_basefeatures_w10_fulldata_0.001lr,0.9151625053286432,0.9995798880209763,0.0003007518796992481,0.9995727910241075
multiclass_basefeatures_w10_fulldata_0.001lr,0.9141533209347722,0.9995685334166844,0.0002734107997265892,0.999533956072651
ensemble_flowonlyfeatures_w10_fulldata_0.001lr,0.9131146029528038,0.9995458235635015,0.0004101199377741841,0.9995922103852104
multiclass_flowonlyfeatures_w10_fulldata_0.001lr,0.8849557194467014,0.99948905118664,0.00046480583590380233,0.9995533735483793
ensemble_basefeatures_w100_fulldata_0.001lr,0.8842994000351967,0.9995454932814557,0.0003286658233337095,0.9995339523019012
ensemble_flowonlyfeatures_w100_fulldata_0.001lr,0.881677112226946,0.9995341309362678,0.0003012798175826483,0.9995145348261731
multiclass_flowonlyfeatures_w100_fulldata_0.001lr,0.8792517526143249,0.9995114049547894,0.0003286770747740345,0.9995339504165264
ensemble_flowonlyfeatures_w10_fulldata_0.0001lr,0.8783175819287994,0.9994436321248733,0.0005468440285589804,0.9995339541872761
multiclass_basefeatures_w100_fulldata_0.001lr,0.8743785398770377,0.9995000413184991,0.00041084634346754307,0.9994951116943204
ensemble_basefeatures_w100_fulldata_0.0001lr,0.8635983582661314,0.9994773166281231,0.000438228598738496,0.9995339504165264
ensemble_basefeatures_w10_fulldata_0.0001lr,0.8626894920376469,0.9994436321248733,0.0005195029485863215,0.9995727929094823
multiclass_flowonlyfeatures_w100_fulldata_0.0001lr,0.8478951486749755,0.9992387060880719,0.0010955864987666733,0.9995727872533576
multiclass_basefeatures_w100_fulldata_0.0001lr,0.8427842280138685,0.9993295996851673,0.0007942879287834834,0.9995533697776293
multiclass_flowonlyfeatures_w10_fulldata_0.0001lr,0.8224694068024171,0.9993187334114566,0.0007655726683402518,0.999514536711548
multiclass_basefeatures_w10_fulldata_0.0001lr,0.7835884499167809,0.9991143505341997,0.0012303971951655556,0.999533956072651
