feature,mean,std
f2,0.06356436911299776,0.0033380290293095307
f1,0.04721446188932911,0.0023923053873293127
f9,0.03905970587167405,0.0027619694982134453
f8,0.01737582842433496,0.00102142322484513
f6,0.0024878282903440406,0.0004780151750545983
f4,0.002292901564046512,0.000362615518038901
f5,0.0008385077762654069,0.00037599143407811715
f3,0.0006877619950396485,0.0002594682249530975
f7,0.00036862511288419106,4.6174484243068463e-05
f0,0.00021409879391010023,0.00019433198238090889
