#=== ait_neg_scratch_behavioral_w10_10000b50a ===
#
#Metrics:
#  Accuracy: 0.9468 | Macro Precision: 0.3894 | Macro Recall: 0.4000 | Macro F1: 0.3945
#  False Alarms: 0 | False Alarm Rate: 0.0000
#  Missed Attacks: 7503 | Detection Rate: 0.0015
#
#Per-Class Metrics:
#  [phase4] P=0.0000 | R=0.0000 | F1=0.0000 | 
#  [phase1] P=0.0000 | R=0.0000 | F1=0.0000 | 
#  [phase2] P=1.0000 | R=1.0000 | F1=1.0000 | 
#  [phase3] P=0.0000 | R=0.0000 | F1=0.0000 | 
#
#Confusion Matrix:
#         	      	      	      	Actual	      	      
#         	      	benign	phase4	phase1	phase2	phase3
#         	benign	133582	  5144	  2268	     0	    91
#Predicted	phase4	     0	     0	     0	     0	     0
#         	phase1	     0	     0	     0	     0	     0
#         	phase2	     0	     0	     0	    11	     0
#         	phase3	     0	     0	     0	     0	     0
i,time,loss,ground_time,compile_time,eval_time
10,1.1527392864227295,0.21493366891463225,0.004444009304046629,0.00023763370513915925,0.0002075872421264648
20,1.8981151580810547,0.22247838154371746,0.0048354983329772895,0.00025823307037353406,0.00016997957229614253
30,2.5459365844726562,0.20144398761846763,0.004834771633148185,0.00025615596771240125,0.00015185260772705077
40,3.198071002960205,0.20668780105123669,0.004865729331970206,0.000256523609161376,0.00015559864044189476
50,3.8797640800476074,0.21253924872662586,0.004822108268737788,0.00025749874114990164,0.00015664005279541002
60,4.58975887298584,0.2154064038762209,0.004911149024963373,0.0002657175064086903,0.00015787124633789062
70,5.25020694732666,0.18621867177941748,0.00481051969528198,0.0002517433166503896,0.00015710210800170898
80,5.899350881576538,0.18973023500228678,0.004866352081298821,0.00025869941711425696,0.00016219854354858408
90,6.493801593780518,0.1725490014993424,0.0048344001770019435,0.0002582931518554676,0.00015421199798583987
100,7.143396854400635,0.17415415262739023,0.004902750492095941,0.00025781393051147334,0.00015879440307617186
110,7.7714409828186035,0.1725288161070184,0.004820727825164792,0.0002611255645751947,0.00015716743469238278
120,8.410553455352783,0.1601566004560407,0.004888199806213375,0.00026459121704101494,0.0001538219451904295
130,9.339343309402466,0.15750530543675703,0.004937169075012202,0.00026287317276000894,0.00021548461914062513
140,10.237870454788208,0.13016547122906016,0.0048641304969787545,0.0002589311599731435,0.00021554279327392576
150,11.194964170455933,0.13195986878067253,0.004907524108886716,0.0002696828842163077,0.00023865985870361321
160,11.914460182189941,0.08798845901555838,0.0048902568817138625,0.00025960397720336826,0.0001710281372070312
170,12.592895030975342,0.06398467803306926,0.004798540115356438,0.000249931812286376,0.0001666584014892578
180,13.376163721084595,0.05875014535784506,0.004937363147735589,0.00026472043991088753,0.0001653771400451659
190,14.139426469802856,0.06642992059872016,0.004891277313232418,0.0002593231201171864,0.00017045307159423826
200,14.894837141036987,0.047822695719618266,0.004909449100494381,0.0002666001319885246,0.00016749238967895494
