Model,Macro F1,Macro F1 Std,Weighted F1,Weighted F1 Std,Accuracy,Accuracy Std,Detection Rate,Detection Rate Std,False Alarm Rate,False Alarm Rate Std,Causal Rate,Causal Rate Std,Regression Rate,Regression Rate Std
darpa_temp_context_baseline_endtoend_base_w10_full_0.001lr,0.946342358278054,0.0,0.9627882389036372,0.0,0.9624850973638892,0.0,0.9999093792478477,0.0,0.090207336523126,0.0,0.0,0.0,0.0007062146892655367,0.0
darpa_temp_context_endtoend_base_w10_full_0.001lr,0.9397473627553666,0.013627516831602553,0.9995185639479488,1.1092149719654487e-05,0.9995142844526869,1.2489191172075252e-05,0.9992750339827822,3.699576714671391e-05,0.00014885699096225415,3.0073653638981284e-05,0.0,0.0,0.0,0.0
darpa_temp_context_pretrained_base_w10_full_0.001lr,0.8899121438888817,0.006725146198830412,0.9995114490094551,3.6254366211352362e-06,0.9994966220691482,0.0,0.9991844132306298,0.0,6.379585326953749e-05,0.0,0.0,0.0,0.0,0.0
darpa_temp_pretrained_base_w10_full_0.001lr,0.8545396519180309,0.0,0.9993757393162688,0.0,0.9993641541926083,0.0,0.9991844132306298,0.0,0.0003827751196172249,0.0,0.0,0.0,0.0,0.0
multiclass_basefeatures_w10_fulldata_0.001lr,0.8265029707125162,0.016491788119987985,0.999350236347845,1.8587410358817558e-05,0.9993464918090696,1.2489191172075252e-05,0.9991844132306298,6.407854836309597e-05,0.00029771398192450824,7.956740854383714e-05,0.02722222222222222,0.01926103980373302,0.08111111111111112,0.0015713484026367692
ensemble_basefeatures_w10_fulldata_0.001lr,0.8198881112790595,0.013631640398337449,0.9993306891383756,2.4328424003226133e-05,0.999328829425531,1.2489191172127589e-05,0.9991693097719377,5.6511967780925644e-05,0.00031897926634768745,5.208909607194423e-05,0.05282051282051282,0.019229059753079668,0.09230769230769231,0.0196216681740605
darpa_temp_endtoend_base_w10_full_0.001lr,0.8170228684187828,0.0,0.9993911814682013,0.0,0.9993641541926083,0.0,0.9990484821024015,0.0,0.00019138755980861245,0.0,0.0,0.0,0.041666666666666664,0.0
darpa_temp_baseline_endtoend_base_w10_full_0.001lr,0.5576113260276802,0.0,0.6552880840522012,0.0,0.5854020400052987,0.0,1.0,0.0,0.998341307814992,0.0,0.0,0.0,0.14429036999169276,0.0
