#
#=== Full dataset results ===
#
#Accuracy: 0.9997
#Micro F1: 0.9997 | Macro F1: 0.9911 | Weighted F1: 0.9997
#
#Per-class metrics:
#  [benign] P=0.9994 | R=0.9999 | F1=0.9996 | Support=20900
#  [phase1] P=1.0000 | R=1.0000 | F1=1.0000 | Support=8
#  [phase2] P=0.9000 | R=1.0000 | F1=0.9474 | Support=9
#  [phase3] P=1.0000 | R=1.0000 | F1=1.0000 | Support=14
#  [phase4] P=1.0000 | R=1.0000 | F1=1.0000 | Support=7
#  [phase5] P=1.0000 | R=0.9996 | F1=0.9998 | Support=29389
#Confusion Matrix:
#         	      	      	      	Actual	      	      	      
#         	      	benign	phase1	phase2	phase3	phase4	phase5
#         	benign	 20898	     0	     0	     0	     0	    13
#         	phase1	     0	     8	     0	     0	     0	     0
#Predicted	phase2	     1	     0	     9	     0	     0	     0
#         	phase3	     0	     0	     0	    14	     0	     0
#         	phase4	     0	     0	     0	     0	     7	     0
#         	phase5	     1	     0	     0	     0	     0	 29376
i,time,loss,ground_time,compile_time,eval_time
100,8.115784883499146,9.581625387384386e-05,0.003766064643860092,0.0003781907081604048,0.00021163411140441883
200,16.113107681274414,0.004637671080783858,0.0037538734912874517,0.0003797183513641401,0.0002097385406494134
300,24.0991849899292,0.0007507080624885299,0.003774489164352648,0.00038062086105347193,0.00021043567657470736
400,32.08000183105469,0.002831984828447798,0.0037705753803255427,0.00038066968917847285,0.00021008162498474067
500,40.05485534667969,0.0014194707658159178,0.0037641309738161433,0.00038010621070862346,0.00021057796478271602
600,48.03887438774109,0.0013560368898858789,0.0038139315605166006,0.0003826195716857967,0.00021111121177673308
700,56.04347062110901,0.0024000901513692853,0.00373481798172019,0.00037880210876465247,0.00021208791732788096
800,64.00970768928528,0.001268863002983165,0.00380504722595238,0.00038203582763672486,0.00021031823158264133
900,72.009450674057,0.003050661547999509,0.003808747482300041,0.00038235750198364763,0.00021018910408020043
1000,81.40430784225464,0.0016364471154783433,0.0037648705959322302,0.0003802422046661428,0.0002167699337005611
1100,89.97042870521545,0.00016492299302846237,0.0037829216003420203,0.0003812637329101618,0.00022942047119140686
1200,98.71893000602722,0.0013376677957821581,0.0037325504779817825,0.00037857089042664057,0.0002353550434112542
1300,115.36915016174316,0.001315033131985066,0.0037579576015474656,0.00037972207069397393,0.0004426334857940672
1400,132.04149556159973,0.0001270732533597152,0.0037801394939424786,0.00038100395202637303,0.0004452659606933583
1500,148.76976013183594,0.00012782935829311448,0.003780432271957621,0.0003809372425079396,0.0004460187435150143
