model,Macro F1,False Positive Rate,Detection Rate,total_wrong,num_causal,num_regression,causal_rate,regression_rate,temp_score
ait_logic_pretrained_aug_w100_full_20260507_185429,0.9558327891534006,7.487832272557094e-05,0.9968042609853529,34,0,0,0.0,0.0,0.9558327891534006
ait_logic_pretrained_aug_w100_balanced_20260507_184955,0.9461688690730089,0.00023212280044926993,0.9985352862849534,42,0,1,0.0,0.023809523809523808,0.9414069643111042
multiclass_aug_w100_full,0.9304803447211807,0.0007562710595282665,0.9981358189081225,115,0,0,0.0,0.0,0.9304803447211807
ait_logic_pretrained_reduced_w100_balanced_20260508_042139,0.9233455772938152,0.0034444028453762634,0.9576564580559255,778,0,10,0.0,0.012853470437017995,0.9207748832064115
ait_logic_pretrained_full_w100_balanced_20260507_232832,0.8993081525983072,0.0026656682890303257,0.9607190412782957,651,0,4,0.0,0.006144393241167435,0.8980792739500737
ait_logic_pretrained_reduced_w100_full_20260508_043209,0.8852484714105409,0.0020965930363159866,0.8834886817576565,1155,0,1,0.0,0.0008658008658008658,0.8850753112373807
ait_logic_scratch_aug_w100_full_20260513_061310,0.8725057388700839,0.00045675776862598276,0.9880159786950732,151,0,3,0.0,0.019867549668874173,0.868532228936309
ait_logic_pretrained_aug_w10_balanced_20260509_133152,0.8716266832919691,0.00033687173421568774,0.9934788394996007,94,0,0,0.0,0.0,0.8716266832919691
ait_logic_scratch_aug_w10_full_20260509_152317,0.8700715639891659,0.0012801125900196134,0.9897524620708011,248,0,23,0.0,0.09274193548387097,0.8515231768923917
ensemble_aug_w10_full,0.82257200658927,0.0006887155455076282,0.991615650785201,155,2,0,0.012903225806451613,0.0,0.8161203936860442
ait_logic_pretrained_full_w100_full_20260507_233918,0.8180301710107596,0.0016173717708723324,0.9278295605858855,758,0,1,0.0,0.0013192612137203166,0.8177663187680155
ait_logic_pretrained_aug_w10_full_20260509_174650,0.8179002026489531,0.00011229057807189592,0.9889539526217727,98,0,0,0.0,0.0,0.8179002026489531
multiclass_aug_w10_full,0.7832003264526154,0.0013175427827102455,0.9921479904178866,235,4,2,0.01702127659574468,0.00851063829787234,0.7729875604951686
multiclass_aug_w100_balanced,0.7444216053775914,0.004260576563084987,0.9996004262120405,574,14,36,0.024390243902439025,0.0627177700348432,0.7196829294194033
multiclass_aug_w10_balanced,0.7426755159025531,0.006063691215882379,0.9964057507987221,839,11,43,0.013110846245530394,0.05125148986889154,0.7258697948060095
ait_logic_pretrained_full_w10_balanced_20260507_210139,0.7392774872046642,0.005015645820544684,0.906973649188182,1369,0,70,0.0,0.05113221329437546,0.7290510445457892
ensemble_aug_w10_balanced,0.7367581532073609,0.006385590873021815,0.9970717423133236,876,7,23,0.007990867579908675,0.026255707762557076,0.7275115778648952
ensemble_aug_w100_balanced,0.7346016938942833,0.004402845376263571,0.9997336529497935,591,9,20,0.015228426395939087,0.0338409475465313,0.7202192911870076
ait_logic_pretrained_reduced_w10_balanced_20260508_015100,0.7202620255896395,0.017060681828390052,0.9535533670481767,2628,0,350,0.0,0.13318112633181126,0.6936258003232773
multiclass_full_w100_full,0.7157847732887433,0.07177836016473231,0.9689747003994674,9819,2,25,0.00020368672980955292,0.0025460841226194113,0.7151737130993147
ait_logic_pretrained_full_w10_full_20260507_212924,0.7062447892518047,0.002245811561437918,0.8438914027149321,1473,0,31,0.0,0.021045485403937542,0.7020356921710171
ait_logic_scratch_reduced_w100_balanced_20260505_102628,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,0.0,0.07580688906970437,0.6843674177284184
ait_logic_scratch_aug_w100_balanced_20260505_184531,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,0.0,0.07580688906970437,0.6843674177284184
ait_logic_scratch_full_w100_balanced_20260505_034445,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,0.0,0.07580688906970437,0.6843674177284184
