model,Macro F1,False Positive Rate,Detection Rate,total_wrong,num_causal,num_regression,causal_rate,regression_rate,temp_score
ait_logic_scratch_full_w10_balanced_20260505_003808,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,0.0,0.07213693791604402,0.6786870199311917
ait_logic_scratch_reduced_w10_balanced_20260505_065839,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,0.0,0.07213693791604402,0.6786870199311917
ait_logic_scratch_aug_w10_balanced_20260509_131016,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,0.0,0.07213693791604402,0.6786870199311917
multiclass_reduced_w100_full,0.6769250515950596,0.07513290902283788,0.97017310252996,10258,7,38,0.0006823942288945213,0.00370442581399883,0.6758429693178125
ait_logic_pretrained_reduced_w10_full_20260508_021651,0.6631253090992624,0.0037729634232157028,0.8498802235826457,1632,0,56,0.0,0.03431372549019608,0.6562625640012232
ensemble_reduced_w100_balanced,0.6041071986867946,0.08819168850617747,0.9781624500665779,11942,27,114,0.0022609278177859655,0.009546139675096299,0.6010675068428825
ensemble_full_w100_balanced,0.5779203397124868,0.09254211905653313,0.9860149174214171,12466,51,335,0.004091127867800417,0.026873094817904702,0.5705001568150057
ait_logic_scratch_full_w100_full_20260512_232223,0.569013234432966,0.0017746162485960315,0.8756324900133156,1171,0,45,0.0,0.03842869342442357,0.5613274957480813
ait_logic_scratch_reduced_w100_full_20260513_025248,0.5661218655883713,0.002942718083114938,0.8770972037283622,1316,0,59,0.0,0.044832826747720364,0.5571553002388272
ait_logic_scratch_full_w10_full_20260513_013858,0.5556943949588101,0.0015645820544684164,0.830316742081448,1484,0,27,0.0,0.018194070080862535,0.5520555809426376
ait_logic_scratch_reduced_w10_full_20260513_050033,0.5504283268608701,0.0025751972571154795,0.8131487889273357,1748,0,45,0.0,0.02574370709382151,0.5452795854421058
multiclass_reduced_w100_balanced,0.5341878764035244,0.10058405091725946,0.9864163004394726,13536,173,432,0.012780732860520094,0.031914893617021274,0.5214145312498601
multiclass_full_w10_full,0.5327383402741106,0.060584509889056906,0.9250966280154604,8666,142,242,0.016385875836602816,0.027925225017309024,0.5189603573523474
multiclass_full_w100_balanced,0.5251105424329384,0.09822538375140397,0.9846870838881492,13233,169,293,0.012771102546663644,0.022141615657825135,0.5142966680280415
multiclass_reduced_w10_full,0.46086193195532577,0.11636298303663667,0.9486735101986402,15942,1585,351,0.09942290804165098,0.02201731275875047,0.40674701538275015
multiclass_full_w10_balanced,0.4265949283277795,0.12887215343384587,0.9686666666666667,17464,1471,631,0.0842304168575355,0.03613147045350435,0.3772534258083109
ensemble_reduced_w10_balanced,0.4228926939391016,0.13987663008489168,0.9686621132985135,18966,3210,545,0.16925023726668775,0.028735632183908046,0.33252044886897614
ensemble_full_w10_balanced,0.4221403065361241,0.13167193184710516,0.9741229825263439,17800,1440,738,0.08089887640449438,0.04146067415730337,0.37339873350241626
multiclass_reduced_w10_balanced,0.4164890884589991,0.14327529158120106,0.9623071763916834,19479,3222,578,0.16540890189434776,0.029672981159197084,0.32785004127998585
